job,salary,company
平面设计,7-10K,薇琳医美
平面设计师,8-12K,依文集团
平面设计师,8-12K,Eunicegroup
平面设计,10-12K,华章世纪
平面设计助理,5-8K,伊恩生物科技有限公司
平面设计,5-10K,汉谷教育
UI设计师,15-20K,中交兴路
UI设计师,9-10K,圣世信通
UI设计师,18-23K·13薪,Boss直聘
高级UI设计师,13-25K,中国移动设计院
UI设计师,20-30K·14薪,微店
高级UI设计师,17-23K·13薪,蕾蕾美颜
UI设计师,11-18K,法本信息
UI设计师,10-15K,秘易网络
UI设计师,10-15K,风影科技股份有限...
高级UI设计师,20-30K,好未来
UI设计师(J10067),20-30K·13薪,团车网
高级UI设计师,20-30K,竞技世界
产品经理,15-25K,亚信科技
产品经理,20-40K·14薪,老虎集团
产品运营（房地产）,10-15K·14薪,京东世纪贸易有限公司
产品运营专家,30-45K·14薪,58到家
产品运营,5-9K·14薪,东方中恒
产品运营,15-28K,当当网
产品运营,10-15K,轻课
产品运营专家,15-25K,VIPKID
产品运营,10-15K,梦创家
支付产品运营,6-8K,联拓金融
产品运营,15-25K,本木医疗
CRM产品运营,10-15K,自如网
新媒体运营主管,12-16K·13薪,启航考研
高级PHP,20-30K,奥琦玮
PHP,15-30K,辽源誉隆亚东药业
PHP广告,16-30K,北京新氧万维
PHP工程师,12-13K·13薪,大V店
PHP,6-9K,明泰科技
PHP,13-20K,奥琦玮
PHP,25-50K,滴滴
ui设计师,7-10K,丝路彩虹
资深UI设计师,10-20K,绿盟科技
美术UI设计师,15-30K,快手
UI设计师,7-12K,人民在线
UI设计师,25-30K·14薪,VIPKID
产品经理,30-40K,瑞幸咖啡
产品经理,10-20K,登云美业
产品经理,15-25K,大搜车
产品经理,20-30K,云南白药
产品经理,15-25K·14薪,新奥数能
产品经理,20-35K,京东
产品经理,8-16K,墨臣
产品经理,10-20K,美利金融
ERP产品经理,18-35K,歌德盈香股份
资深产品经理,25-50K·16薪,快手
UI设计师,12-22K,上游网络
高级UI设计师,20-40K,今日头条
高级UI设计师,15-30K,快手
UI设计师,6-10K,非凡影界
UI设计师,10-15K,致医健康
高级UI设计师,20-30K,华清飞扬
高级UI设计师,15-25K,好未来
